identifier,process,crossSection=-1,BR=1,execute=True,dataset,prefix,pattern,splitLevel,::variables,::pyFragments,comment
### See comment field,,,,,,,,,,,Unless otherwise stated; signal x-sections are taken from https://hypernews.cern.ch/HyperNews/CMS/get/higgs/1738.html
###,,,,,,,,,,,in the [120;130] range they are taken from the YR4 SM 13TeV tab; i.e. they are N3LO QCD + NLO EW
###,,,,,,,,,,,while for other mass points they are taken from the YR4 BSM 13TeV tab; i.e. they are in NWA and without EWK corrections; see https://hypernews.cern.ch/HyperNews/CMS/get/higgs/1738/1/1/1.html
###,,,,,,,,,,,For ZH and ttH the BR is obtained as BR(H->ZZ->2L2X) = BR(H->4L) + BR(H->2L2q) + BR(H->ZZ*->2L2nu) * BR(H->2L2nu) / [ BR(H->ZZ*->2L2nu) + BR(H->WW*->2L2nu) ] where BR(H->4L) BR(H->2L2q) and BR(H->2L2nu) are taken from the YR3 Twikis.
###,,,,,,,,,,,For ZH and ttH the BR column also includes the gen filter efficiency (0.15038 for ZH and 0.1544 for ttH).
##ggH125, ,48.58,0.0002745,,/GluGluHToZZTo4L_M125_13TeV_powheg2_JHUGenV7011_pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,dbs,,2,GENXSEC=30.3040;GENBR=0.0002745;ADDLHEKINEMATICS=True;VVMODE=2;VVDECAYMODE=0;APPLY_K_NNLOQCD_ZZGG=2;APPLY_QCD_GGF_UNCERT=True;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0PM_H125_POWHEG.py,
#####,,,,,,,,,,,For systematics
#####,,,,,,,,,,,qq->ZZ background

ggH0MZgf05ph0_M125, ,48.58,0.0002745,,dataset_goes_here,dbs,,2,GENXSEC=59.11191244;GENBR=0.0002745;APPLY_K_NNLOQCD_ZZGG=2;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0MZgf05ph0_H125_ACJHUGen.py,
ggH0PHZg_M125, ,48.58,0.0002745,,dataset_goes_here,dbs,,2,GENXSEC=29.18498383;GENBR=0.0002745;APPLY_K_NNLOQCD_ZZGG=2;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0PHZg_H125_ACJHUGen.py,
ggH0PHZgf05ph0_M125, ,48.58,0.0002745,,dataset_goes_here,dbs,,2,GENXSEC=61.65376423;GENBR=0.0002745;APPLY_K_NNLOQCD_ZZGG=2;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0PHZgf05ph0_H125_ACJHUGen.py,
ggH0Mgg_M125, ,48.58,0.0002745,,dataset_goes_here,dbs,,2,GENXSEC=28.50420395;GENBR=0.0002745;APPLY_K_NNLOQCD_ZZGG=2;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0Mgg_H125_ACJHUGen.py,
ggH0Mggf05ph0_M125, ,48.58,0.0002745,,dataset_goes_here,dbs,,2,GENXSEC=58.64921271;GENBR=0.0002745;APPLY_K_NNLOQCD_ZZGG=2;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0Mggf05ph0_H125_ACJHUGen.py,
ggH0PHgg_M125, ,48.58,0.0002745,,dataset_goes_here,dbs,,2,GENXSEC=28.84049278;GENBR=0.0002745;APPLY_K_NNLOQCD_ZZGG=2;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0PHgg_H125_ACJHUGen.py,
ggH0PHggf05ph0_M125, ,48.58,0.0002745,,dataset_goes_here,dbs,,2,GENXSEC=59.67238388;GENBR=0.0002745;APPLY_K_NNLOQCD_ZZGG=2;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_GG_SIG_0PHggf05ph0_H125_ACJHUGen.py,

VBFH0L1_M125, ,3.782,0.0002745,,/VBFHiggs0L1ToZZTo4L_M125_13TeV_JHUGenV7011_pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,dbs,,2,GENXSEC=0.115632;GENBR=0.0002745;VVMODE=2;VVDECAYMODE=0;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_VBF_SIG_0L1_H125_ACJHUGen.py,
VBFH0L1f05ph0_M125, ,3.782,0.0002745,,/VBFHiggs0L1f05ph0ToZZTo4L_M125_13TeV_JHUGenV7011_pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,dbs,,2,GENXSEC=7.59977;GENBR=0.0002745;VVMODE=2;VVDECAYMODE=0;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_VBF_SIG_0L1f05ph0_H125_ACJHUGen.py,
VBFH0L1Zg_M125, ,3.782,0.0002745,,/VBFHiggs0L1ZgToZZTo4L_M125_13TeV_JHUGenV7011_pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,dbs,,2,GENXSEC=1.05822;GENBR=0.0002745;VVMODE=2;VVDECAYMODE=0;LEPTON_SETUP=2017,RecoProbabilities.py;LHEProbabilities_VBF_SIG_0L1Zg_H125_ACJHUGen.py,
